Model Number,Unit Price,Quantity
CZsZqobGhK,882,715
nKlHFRTOes,314,766
xHiwPcBcsh,992,385
hcgNyFbMIM,168,830
zeqvjUyvVY,528,118
mFVcewsjLF,800,535
gNSrGWuEwO,980,750
oeuwawycRD,545,77
EVsNVdJsth,956,428
fKrpxHDcuY,223,28
jbouhfXFLf,881,700
ZowSdWkrEB,237,599
RdTHnWhRLZ,468,160
FMqRsYDwSj,520,115
lBfymsAjoN,820,410
zWxgpivnzS,469,460
OWpDcWaojz,969,151
CiGBsZAKSN,473,686
DyygITlNRb,995,943
YfxpaKVNIB,889,884
XGyEEBqLWx,319,444
jxffiIyBpr,767,387
ESflTDbEmL,475,322
yBthqwTDqY,964,383
fIsbACPdgW,651,974
RYGcgQIIwH,604,33
bmzBBrTmEz,590,386
QyhiQwoIVQ,873,953
mhBETTJtaB,243,661
ryXieckpMH,811,617
RqQuYcgHKP,217,456
oqdicDSQyG,486,147
GVuwjWutBw,158,522
QXDHLEcdUB,939,892
cbVmxcAxFP,251,670
